evaluation_fold,hypothesis_id,strategy,symbol,training_score,training_trades,prior_fold_sharpes
2,H012,unique_00003,CL,2.4622078440232453,50,[2.4622078440232453]
2,H012,unique_00007,NG,1.833940683171706,50,[1.833940683171706]
2,H012,unique_00005,GC,1.6534956473114413,50,[1.6534956473114413]
2,H013,unique_00012,6J,1.7606195104769353,53,[1.7606195104769353]
2,H013,unique_00019,ZC,0.3466499233363524,36,[0.3466499233363524]
2,H014,unique_00179,NG,1.9711044235343795,35,[1.9711044235343795]
2,H014,unique_00134,CL,0.5889314212348065,50,[0.5889314212348065]
2,H014,unique_00190,NKD,0.2094623951210782,25,[0.2094623951210782]
2,H015,unique_00147,ES,1.6682902547629077,52,[1.6682902547629077]
2,H015,unique_00139,CL,1.4567252309023675,39,[1.4567252309023675]
2,H015,unique_00197,NKD,1.3925737526658075,45,[1.3925737526658075]
2,H016,unique_00072,6J,2.9762091968617543,89,[2.9762091968617543]
2,H016,unique_00069,ZC,2.9503350048101513,86,[2.9503350048101513]
2,H016,unique_00064,ES,1.7485311328765276,68,[1.7485311328765276]
2,H012,__FAMILY_WEIGHT__,,0.11592288347333753,0,"{""leverage"": 2.0}"
2,H013,__FAMILY_WEIGHT__,,0.26863041799806586,0,"{""leverage"": 2.0}"
2,H014,__FAMILY_WEIGHT__,,0.15986752497581647,0,"{""leverage"": 2.0}"
2,H015,__FAMILY_WEIGHT__,,0.2075838987733142,0,"{""leverage"": 2.0}"
2,H016,__FAMILY_WEIGHT__,,0.24799527477946592,0,"{""leverage"": 2.0}"
3,H012,unique_00005,GC,0.37548810481994993,101,"[1.6534956473114413, -0.39131642067494476]"
3,H013,unique_00029,ZC,0.9394080151597752,17,"[1.7708248857231237, 0.44055789282176633]"
3,H013,unique_00047,NG,0.26229180462772084,19,"[-0.38616669597937364, 1.3430559723062117]"
3,H013,unique_00050,ZN,0.2178879868874112,30,"[-0.36735741564431906, 1.1932969911069617]"
3,H014,unique_00179,NG,1.0036642521594903,77,"[1.9711044235343795, 0.42320014933455685]"
3,H014,unique_00133,CL,0.11229033770891708,217,"[0.008710628546346848, 0.2849231863132008]"
3,H014,unique_00200,ZC,0.03980733131180936,129,"[-0.13460266125245715, 0.33049065225225355]"
3,H015,unique_00186,NG,1.1777967411920318,136,"[0.9877841480846166, 1.494484396371057]"
3,H015,unique_00161,GC,1.1726667064147542,122,"[1.1488725183950153, 1.2123236864476523]"
3,H015,unique_00147,ES,0.9262944361829795,86,"[1.6682902547629077, 0.48109694503502265]"
3,H016,unique_00069,ZC,2.3347170041277177,171,"[2.9503350048101513, 1.9653462037182579]"
3,H016,unique_00062,6J,1.0384887263741858,155,"[2.569923190414415, 0.11962804795004833]"
3,H016,unique_00064,ES,0.8707947219811437,153,"[1.7485311328765276, 0.3441528754439134]"
3,H012,__FAMILY_WEIGHT__,,0.1698086351255426,0,"{""leverage"": 2.0}"
3,H013,__FAMILY_WEIGHT__,,0.3028352149176983,0,"{""leverage"": 2.0}"
3,H014,__FAMILY_WEIGHT__,,0.15169514201088513,0,"{""leverage"": 2.0}"
3,H015,__FAMILY_WEIGHT__,,0.11363091758994172,0,"{""leverage"": 2.0}"
3,H016,__FAMILY_WEIGHT__,,0.26203009035593233,0,"{""leverage"": 2.0}"
4,H012,unique_00005,GC,0.5524588619825286,153,"[1.6534956473114413, -0.39131642067494476, 1.037572929073902]"
4,H013,unique_00029,ZC,1.0871686028520953,23,"[1.7708248857231237, 0.44055789282176633, 1.4781952870815507]"
4,H013,unique_00044,ES,0.21368424773827993,47,"[-0.18284283966257903, 0.4437430552536783, 0.6443962785454799]"
4,H014,unique_00200,ZC,0.02611563852156338,204,"[-0.13460266125245715, 0.33049065225225355, 0.02705291965728044]"
4,H015,unique_00147,ES,0.45685330586876194,161,"[1.6682902547629077, 0.48109694503502265, -0.19986567750476028]"
4,H015,unique_00183,NG,0.2665382030741897,166,"[1.1456047101055675, 0.5066612831452532, -0.3826366717236176]"
4,H015,unique_00204,ZC,0.12192728033055489,281,"[0.1741733916236967, -0.07950757857324713, 0.4258499413280117]"
4,H016,unique_00064,ES,1.2310663163837308,239,"[1.7485311328765276, 0.3441528754439134, 2.191009751198757]"
4,H016,unique_00062,6J,1.0736066725394793,225,"[2.569923190414415, 0.11962804795004833, 1.281845220148809]"
4,H016,unique_00077,NG,0.008520957731464607,264,"[-0.49090697358911617, 0.05019553273595357, 0.8935204455117455]"
4,H012,__FAMILY_WEIGHT__,,0.1924430654498515,0,"{""leverage"": 2.0}"
4,H013,__FAMILY_WEIGHT__,,0.4,0,"{""leverage"": 2.0}"
4,H014,__FAMILY_WEIGHT__,,0.16328560305269288,0,"{""leverage"": 2.0}"
4,H015,__FAMILY_WEIGHT__,,0.1316100949150037,0,"{""leverage"": 2.0}"
4,H016,__FAMILY_WEIGHT__,,0.1126612365824518,0,"{""leverage"": 2.0}"
