fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
2,128,2024-02-21,2024-08-19,-0.10900449767744369,-0.22406477547077178,0.07847379994869587,-2.855281324687469,-0.13960245844436492,0.4296875,0.14285714285714285,0.0,0.0,55,1,0,0,7,3,1,0.37037037037037035,10,27
3,128,2024-08-20,2025-02-17,-0.08900647104714676,-0.17982385525283567,0.08546565130084492,-2.104048264019465,-0.09435404396724756,0.515625,0.14285714285714285,0.3333333333333333,0.0,66,1,1,0,7,3,2,0.25925925925925924,7,27
4,128,2025-02-18,2025-08-15,-0.0543429212146066,-0.10230637806367085,0.12486701551742876,-0.8193226821329054,-0.10602779928717121,0.4609375,0.2857142857142857,0.6666666666666666,0.0,59,2,2,0,7,3,1,0.4230769230769231,11,26
