best_days_removed,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
0,384,2024-02-21,2025-08-15,-0.23241853056348472,-0.16873166959575944,0.09820521515901029,-1.7181538609996962,-0.28341011382763426,0.46875,0.21052631578947367,0.42857142857142855,0.0,180,4,3,0,19,7,2,0.358974358974359,28,78
1,383,2024-02-21,2025-08-15,-0.26739269961167744,-0.20058294501803373,0.09010856614877578,-2.226014169250643,-0.30350401505599045,0.46736292428198434,0.15789473684210525,0.2857142857142857,0.0,179,3,2,0,19,7,2,0.358974358974359,28,78
3,381,2024-02-21,2025-08-15,-0.3012710268781086,-0.23333510731751722,0.08558818682680612,-2.7262536568240154,-0.33571242862923933,0.4645669291338583,0.15789473684210525,0.2857142857142857,0.0,177,3,2,0,19,7,2,0.34615384615384615,27,78
5,379,2024-02-21,2025-08-15,-0.32216315969572884,-0.25490455421395325,0.08373425663063878,-3.0442087201940047,-0.35557475680516193,0.46174142480211083,0.15789473684210525,0.2857142857142857,0.0,175,3,2,0,19,7,2,0.3333333333333333,26,78
10,374,2024-02-21,2025-08-15,-0.3594671886700812,-0.2966705755299984,0.08110828549834521,-3.6577098591986785,-0.38948107502977525,0.45454545454545453,0.10526315789473684,0.14285714285714285,0.0,170,2,1,0,19,7,2,0.32051282051282054,25,78
