evaluation_fold,strategy,training_score,prior_fold_sharpes,leverage
2,h021_060m_train20_ridge100_threshold0p25,0.9619785456207185,[0.9619785456207185],1.4744794032267277
3,h021_240m_train20_ridge100_threshold0p25,0.9813152952501305,"[0.5462749599356129, 1.7063825207743266]",2.0
4,h021_240m_train20_ridge100_threshold0p25,1.0928664580400553,"[0.5462749599356129, 1.7063825207743266, 1.393495502292777]",2.0
