one_way_cost_bps,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
0.0,384,2024-02-21,2025-08-15,-0.09645331855586092,-0.06323282668624496,0.08114367814280461,-0.7792699090490034,-0.12697253112842977,0.15625,0.2631578947368421,0.2857142857142857,0.0,60,5,2,0,19,7,2,0.28205128205128205,22,78
0.5,384,2024-02-21,2025-08-15,-0.13183509821713102,-0.08939625266248302,0.08162762249429806,-1.0951715844563235,-0.1491954396624181,0.13541666666666666,0.2631578947368421,0.2857142857142857,0.0,52,5,2,0,19,7,2,0.24358974358974358,19,78
1.0,384,2024-02-21,2025-08-15,-0.1658450192890305,-0.11555967863872108,0.08220519841825803,-1.4057466055948953,-0.17879133777959144,0.13020833333333334,0.21052631578947367,0.2857142857142857,0.0,50,4,2,0,19,7,2,0.1794871794871795,14,78
2.0,384,2024-02-21,2025-08-15,-0.2299579475510123,-0.16788653059119724,0.08363317139130358,-2.007415572054399,-0.2356709219800307,0.11979166666666667,0.15789473684210525,0.2857142857142857,0.0,46,3,2,0,19,7,2,0.16666666666666666,13,78
3.5,384,2024-02-21,2025-08-15,-0.31709155140035716,-0.24637680851991145,0.08642122848193856,-2.8508829699337417,-0.3205513460909436,0.109375,0.15789473684210525,0.2857142857142857,0.0,42,3,2,0,19,7,2,0.1282051282051282,10,78
5.0,384,2024-02-21,2025-08-15,-0.394455410607218,-0.3248670864486256,0.08991903513801983,-3.6128844793538537,-0.3960939255034882,0.0859375,0.15789473684210525,0.2857142857142857,0.0,33,3,2,0,19,7,2,0.11538461538461539,9,78
