fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
1,129,2023-08-22,2024-02-20,-0.05392566875143601,-0.10641777027568328,0.060700106762495404,-1.753172703502316,-0.06768458372327646,0.08527131782945736,0.14285714285714285,0.3333333333333333,0.0,11,1,1,0,7,3,2,0.4074074074074074,11,27
2,128,2024-02-21,2024-08-19,-0.04847914539467224,-0.09613036312296051,0.05799346550596943,-1.6576068059437756,-0.052026858322226865,0.078125,0.2857142857142857,0.0,0.0,10,2,0,0,7,3,1,0.37037037037037035,10,27
3,128,2024-08-20,2025-02-17,-0.05441221531333962,-0.10535772522397038,0.09756623221845347,-1.079858500511443,-0.08203424440680251,0.09375,0.42857142857142855,0.3333333333333333,0.5,12,3,1,1,7,3,2,0.4444444444444444,12,27
4,128,2025-02-18,2025-08-15,0.0919931217074359,0.18048371258493637,0.12104727224178977,1.4910184198485976,-0.03100046619610186,0.1015625,0.42857142857142855,0.3333333333333333,1.0,13,3,1,1,7,3,1,0.5,13,26
