one_way_cost_bps,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
0.0,513,2023-08-22,2025-08-15,-0.05091571584855448,-0.02178333813469483,0.08833014208321996,-0.24661273740703069,-0.1708248746377563,0.09161793372319688,0.36,0.2222222222222222,0.3333333333333333,47,9,2,1,25,9,3,0.4519230769230769,47,104
0.5,513,2023-08-22,2025-08-15,-0.06074118305316023,-0.026892110064519373,0.08835214956153402,-0.3043741459373324,-0.1771188242595333,0.09161793372319688,0.36,0.2222222222222222,0.3333333333333333,47,9,2,1,25,9,3,0.4519230769230769,47,104
1.0,513,2023-08-22,2025-08-15,-0.0704658995365105,-0.03200088199434395,0.08837876933962069,-0.36208788868027136,-0.18336562290624758,0.08966861598440545,0.36,0.2222222222222222,0.3333333333333333,46,9,2,1,25,9,3,0.4423076923076923,46,104
2.0,513,2023-08-22,2025-08-15,-0.0896171627380824,-0.04221842585399307,0.08844582841542802,-0.477336541591245,-0.19571915895238445,0.08771929824561403,0.32,0.2222222222222222,0.3333333333333333,45,8,2,1,25,9,3,0.4326923076923077,45,104
3.5,513,2023-08-22,2025-08-15,-0.11761367415620927,-0.057544741643466735,0.08858088197405889,-0.6496293597564184,-0.21390446234949845,0.08382066276803118,0.28,0.2222222222222222,0.3333333333333333,43,7,2,1,25,9,3,0.41346153846153844,43,104
5.0,513,2023-08-22,2025-08-15,-0.1447572508183731,-0.07287105743294049,0.08875712136936464,-0.8210164582702728,-0.23214590792157996,0.08382066276803118,0.28,0.2222222222222222,0.3333333333333333,43,7,2,1,25,9,3,0.41346153846153844,43,104
