name,hypothesis_id,symbol,timeframe_minutes,lookback,threshold,direction,leader
unique_00001,H005,6E,15,1,0.5,-1,6J
unique_00002,H005,6E,15,1,0.5,1,6J
unique_00003,H005,6E,15,1,1.0,-1,6J
unique_00004,H005,6E,15,1,1.0,1,6J
unique_00005,H005,6J,15,1,0.5,-1,6E
unique_00006,H005,6J,15,1,0.5,1,6E
unique_00007,H005,6J,15,1,1.0,-1,6E
unique_00008,H005,6J,15,1,1.0,1,6E
unique_00009,H005,CL,15,1,0.5,-1,NG
unique_00010,H005,CL,15,1,0.5,1,NG
unique_00011,H005,CL,15,1,1.0,-1,NG
unique_00012,H005,CL,15,1,1.0,1,NG
unique_00013,H005,ES,15,1,0.5,-1,ZN
unique_00014,H005,ES,15,1,0.5,1,ZN
unique_00015,H005,ES,15,1,1.0,-1,ZN
unique_00016,H005,ES,15,1,1.0,1,ZN
unique_00017,H005,GC,15,1,0.5,-1,HG
unique_00018,H005,GC,15,1,0.5,1,HG
unique_00019,H005,GC,15,1,1.0,-1,HG
unique_00020,H005,GC,15,1,1.0,1,HG
unique_00021,H005,HG,15,1,0.5,-1,GC
unique_00022,H005,HG,15,1,0.5,1,GC
unique_00023,H005,HG,15,1,1.0,-1,GC
unique_00024,H005,HG,15,1,1.0,1,GC
unique_00025,H005,NG,15,1,0.5,-1,CL
unique_00026,H005,NG,15,1,0.5,1,CL
unique_00027,H005,NG,15,1,1.0,-1,CL
unique_00028,H005,NG,15,1,1.0,1,CL
unique_00029,H005,NKD,15,1,0.5,-1,ES
unique_00030,H005,NKD,15,1,0.5,1,ES
unique_00031,H005,NKD,15,1,1.0,-1,ES
unique_00032,H005,NKD,15,1,1.0,1,ES
unique_00033,H005,ZC,15,1,0.5,-1,CL
unique_00034,H005,ZC,15,1,0.5,1,CL
unique_00035,H005,ZC,15,1,1.0,-1,CL
unique_00036,H005,ZC,15,1,1.0,1,CL
unique_00037,H005,ZN,15,1,0.5,-1,ES
unique_00038,H005,ZN,15,1,0.5,1,ES
unique_00039,H005,ZN,15,1,1.0,-1,ES
unique_00040,H005,ZN,15,1,1.0,1,ES
unique_00041,H005,6E,15,2,0.5,-1,6J
unique_00042,H005,6E,15,2,0.5,1,6J
unique_00043,H005,6E,15,2,1.0,-1,6J
unique_00044,H005,6E,15,2,1.0,1,6J
unique_00045,H005,6J,15,2,0.5,-1,6E
unique_00046,H005,6J,15,2,0.5,1,6E
unique_00047,H005,6J,15,2,1.0,-1,6E
unique_00048,H005,6J,15,2,1.0,1,6E
unique_00049,H005,CL,15,2,0.5,-1,NG
unique_00050,H005,CL,15,2,0.5,1,NG
unique_00051,H005,CL,15,2,1.0,-1,NG
unique_00052,H005,CL,15,2,1.0,1,NG
unique_00053,H005,ES,15,2,0.5,-1,ZN
unique_00054,H005,ES,15,2,0.5,1,ZN
unique_00055,H005,ES,15,2,1.0,-1,ZN
unique_00056,H005,ES,15,2,1.0,1,ZN
unique_00057,H005,GC,15,2,0.5,-1,HG
unique_00058,H005,GC,15,2,0.5,1,HG
unique_00059,H005,GC,15,2,1.0,-1,HG
unique_00060,H005,GC,15,2,1.0,1,HG
unique_00061,H005,HG,15,2,0.5,-1,GC
unique_00062,H005,HG,15,2,0.5,1,GC
unique_00063,H005,HG,15,2,1.0,-1,GC
unique_00064,H005,HG,15,2,1.0,1,GC
unique_00065,H005,NG,15,2,0.5,-1,CL
unique_00066,H005,NG,15,2,0.5,1,CL
unique_00067,H005,NG,15,2,1.0,-1,CL
unique_00068,H005,NG,15,2,1.0,1,CL
unique_00069,H005,NKD,15,2,0.5,-1,ES
unique_00070,H005,NKD,15,2,0.5,1,ES
unique_00071,H005,NKD,15,2,1.0,-1,ES
unique_00072,H005,NKD,15,2,1.0,1,ES
unique_00073,H005,ZC,15,2,0.5,-1,CL
unique_00074,H005,ZC,15,2,0.5,1,CL
unique_00075,H005,ZC,15,2,1.0,-1,CL
unique_00076,H005,ZC,15,2,1.0,1,CL
unique_00077,H005,ZN,15,2,0.5,-1,ES
unique_00078,H005,ZN,15,2,0.5,1,ES
unique_00079,H005,ZN,15,2,1.0,-1,ES
unique_00080,H005,ZN,15,2,1.0,1,ES
unique_00081,H005,6E,15,4,0.5,-1,6J
unique_00082,H005,6E,15,4,0.5,1,6J
unique_00083,H005,6E,15,4,1.0,-1,6J
unique_00084,H005,6E,15,4,1.0,1,6J
unique_00085,H005,6J,15,4,0.5,-1,6E
unique_00086,H005,6J,15,4,0.5,1,6E
unique_00087,H005,6J,15,4,1.0,-1,6E
unique_00088,H005,6J,15,4,1.0,1,6E
unique_00089,H005,CL,15,4,0.5,-1,NG
unique_00090,H005,CL,15,4,0.5,1,NG
unique_00091,H005,CL,15,4,1.0,-1,NG
unique_00092,H005,CL,15,4,1.0,1,NG
unique_00093,H005,ES,15,4,0.5,-1,ZN
unique_00094,H005,ES,15,4,0.5,1,ZN
unique_00095,H005,ES,15,4,1.0,-1,ZN
unique_00096,H005,ES,15,4,1.0,1,ZN
unique_00097,H005,GC,15,4,0.5,-1,HG
unique_00098,H005,GC,15,4,0.5,1,HG
unique_00099,H005,GC,15,4,1.0,-1,HG
unique_00100,H005,GC,15,4,1.0,1,HG
unique_00101,H005,HG,15,4,0.5,-1,GC
unique_00102,H005,HG,15,4,0.5,1,GC
unique_00103,H005,HG,15,4,1.0,-1,GC
unique_00104,H005,HG,15,4,1.0,1,GC
unique_00105,H005,NG,15,4,0.5,-1,CL
unique_00106,H005,NG,15,4,0.5,1,CL
unique_00107,H005,NG,15,4,1.0,-1,CL
unique_00108,H005,NG,15,4,1.0,1,CL
unique_00109,H005,NKD,15,4,0.5,-1,ES
unique_00110,H005,NKD,15,4,0.5,1,ES
unique_00111,H005,NKD,15,4,1.0,-1,ES
unique_00112,H005,NKD,15,4,1.0,1,ES
unique_00113,H005,ZC,15,4,0.5,-1,CL
unique_00114,H005,ZC,15,4,0.5,1,CL
unique_00115,H005,ZC,15,4,1.0,-1,CL
unique_00116,H005,ZC,15,4,1.0,1,CL
unique_00117,H005,ZN,15,4,0.5,-1,ES
unique_00118,H005,ZN,15,4,0.5,1,ES
unique_00119,H005,ZN,15,4,1.0,-1,ES
unique_00120,H005,ZN,15,4,1.0,1,ES
unique_00121,H006,6E,15,2,0.5,-1,
unique_00122,H006,6E,15,2,0.5,1,
unique_00123,H006,6E,15,2,1.0,-1,
unique_00124,H006,6E,15,2,1.0,1,
unique_00125,H006,6J,15,2,0.5,-1,
unique_00126,H006,6J,15,2,0.5,1,
unique_00127,H006,6J,15,2,1.0,-1,
unique_00128,H006,6J,15,2,1.0,1,
unique_00129,H006,CL,15,2,0.5,-1,
unique_00130,H006,CL,15,2,0.5,1,
unique_00131,H006,CL,15,2,1.0,-1,
unique_00132,H006,CL,15,2,1.0,1,
unique_00133,H006,ES,15,2,0.5,-1,
unique_00134,H006,ES,15,2,0.5,1,
unique_00135,H006,ES,15,2,1.0,-1,
unique_00136,H006,ES,15,2,1.0,1,
unique_00137,H006,GC,15,2,0.5,-1,
unique_00138,H006,GC,15,2,0.5,1,
unique_00139,H006,GC,15,2,1.0,-1,
unique_00140,H006,GC,15,2,1.0,1,
unique_00141,H006,HG,15,2,0.5,-1,
unique_00142,H006,HG,15,2,0.5,1,
unique_00143,H006,HG,15,2,1.0,-1,
unique_00144,H006,HG,15,2,1.0,1,
unique_00145,H006,NG,15,2,0.5,-1,
unique_00146,H006,NG,15,2,0.5,1,
unique_00147,H006,NG,15,2,1.0,-1,
unique_00148,H006,NG,15,2,1.0,1,
unique_00149,H006,NKD,15,2,0.5,-1,
unique_00150,H006,NKD,15,2,0.5,1,
unique_00151,H006,NKD,15,2,1.0,-1,
unique_00152,H006,NKD,15,2,1.0,1,
unique_00153,H006,ZC,15,2,0.5,-1,
unique_00154,H006,ZC,15,2,0.5,1,
unique_00155,H006,ZC,15,2,1.0,-1,
unique_00156,H006,ZC,15,2,1.0,1,
unique_00157,H006,ZN,15,2,0.5,-1,
unique_00158,H006,ZN,15,2,0.5,1,
unique_00159,H006,ZN,15,2,1.0,-1,
unique_00160,H006,ZN,15,2,1.0,1,
unique_00161,H006,6E,15,4,0.5,-1,
unique_00162,H006,6E,15,4,0.5,1,
unique_00163,H006,6E,15,4,1.0,-1,
unique_00164,H006,6E,15,4,1.0,1,
unique_00165,H006,6J,15,4,0.5,-1,
unique_00166,H006,6J,15,4,0.5,1,
unique_00167,H006,6J,15,4,1.0,-1,
unique_00168,H006,6J,15,4,1.0,1,
