fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
2,128,2024-02-21,2024-08-19,-0.05916836892908317,-0.11842222800832213,0.05718887555178391,-2.070721392329039,-0.06846607910573999,0.4453125,0.14285714285714285,0.0,0.0,57,1,0,0,7,3,1,0.4444444444444444,12,27
3,128,2024-08-20,2025-02-17,-0.11120257581691961,-0.2303979596621734,0.05637608462702795,-4.086803139778804,-0.11962855509784731,0.375,0.2857142857142857,0.3333333333333333,0.5,48,2,1,1,7,3,2,0.3333333333333333,9,27
4,128,2025-02-18,2025-08-15,-0.1074320856775679,-0.2190355914008426,0.09532326556669078,-2.297818796898007,-0.13404971134163723,0.4609375,0.2857142857142857,0.3333333333333333,0.0,59,2,1,0,7,3,1,0.2692307692307692,7,26
