one_way_cost_bps,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
0.0,384,2024-02-21,2025-08-15,-0.11539811687431367,-0.0778214211058989,0.07213560381126578,-1.0788212338183152,-0.16608953738902488,0.4895833333333333,0.42105263157894735,0.42857142857142855,0.0,188,8,3,0,19,7,2,0.4358974358974359,34,78
0.5,384,2024-02-21,2025-08-15,-0.1366063523423967,-0.09374482661797706,0.07207942534732506,-1.3005767757755304,-0.17646248694917244,0.484375,0.3684210526315789,0.2857142857142857,0.0,186,7,2,0,19,7,2,0.4358974358974359,34,78
1.0,384,2024-02-21,2025-08-15,-0.157307860771024,-0.10966823213005523,0.07202804672117229,-1.5225767894913471,-0.19243368947223038,0.4661458333333333,0.3157894736842105,0.2857142857142857,0.0,179,6,2,0,19,7,2,0.41025641025641024,32,78
2.0,384,2024-02-21,2025-08-15,-0.19723867307604537,-0.14151504315421154,0.0719397291574488,-1.967133388068348,-0.22345653686089828,0.453125,0.2631578947368421,0.2857142857142857,0.0,174,5,2,0,19,7,2,0.41025641025641024,32,78
3.5,384,2024-02-21,2025-08-15,-0.25362691767059686,-0.18928525969044602,0.07184347790879912,-2.634689538982676,-0.26777924610422,0.4270833333333333,0.21052631578947367,0.14285714285714285,0.0,164,4,1,0,19,7,2,0.34615384615384615,27,78
5.0,384,2024-02-21,2025-08-15,-0.3060671888374733,-0.23705547622668063,0.07179084634377603,-3.302029273920552,-0.3144910957983815,0.4088541666666667,0.10526315789473684,0.14285714285714285,0.0,157,2,1,0,19,7,2,0.32051282051282054,25,78
