period_end,return,period_type
2023-08-31,0.0,month
2023-09-30,0.0,month
2023-10-31,0.0,month
2023-11-30,-0.002959891401393633,month
2023-12-31,-0.005583428909691324,month
2024-01-31,-0.012935539462905932,month
2024-02-29,0.00024278671276967145,month
2024-03-31,0.02701574181097599,month
2024-04-30,-0.005093154441010106,month
2024-05-31,-0.002981522705828188,month
2024-06-30,0.0012882785160361898,month
2024-07-31,-0.009200613392499446,month
2024-08-31,-0.0010204832526119478,month
2024-09-30,-0.00039460090316190133,month
2024-10-31,-0.01516437389116121,month
2024-11-30,-2.1162179200118203e-05,month
2024-12-31,0.01944325028682914,month
2025-01-31,-0.0026285111146973072,month
2025-02-28,-0.00478492325425095,month
2025-03-31,0.011217357719960352,month
2025-04-30,0.021812626908584543,month
2025-05-31,-0.0016470427181737302,month
2025-06-30,0.014396024356055026,month
2025-07-31,-0.009812031436147617,month
2025-08-31,0.006299472179962073,month
2023-09-30,0.0,quarter
2023-12-31,-0.00852679396786482,quarter
2024-03-31,0.013976859507547346,quarter
2024-06-30,-0.006781596145316926,quarter
2024-09-30,-0.010602278927361541,quarter
2024-12-31,0.003962785188666107,quarter
2025-03-31,0.00373348251293959,quarter
2025-06-30,0.03481546926301404,quarter
2025-09-30,-0.003574369875247063,quarter
2023-12-31,-0.00852679396786482,year
2024-12-31,0.00037152775080140366,year
2025-12-31,0.03496631202730338,year
