name,symbol,family,lookback_sessions,entry_threshold,full_sharpe,positive_folds,worst_fold_sharpe,fold_1_sharpe,fold_2_sharpe,fold_3_sharpe,fold_4_sharpe,selected_strategy
daily_0099,6J,session_reversal,1,1.0,1.0620118824155171,3,-1.0379052707506928,1.564309747010457,-1.0379052707506928,1.5060042760035095,2.7853896431857565,daily_0100
daily_0103,6J,session_reversal,2,1.0,1.2783601424059867,3,-1.6634071731315576,1.665207982045201,-1.6634071731315576,2.419712127747992,3.7473777851724432,daily_0100
daily_0104,6J,session_reversal,2,1.5,1.1215599725774865,3,-0.9164088666974921,1.9811228193571495,-0.9164088666974921,1.6812557892027726,2.9939991890815802,daily_0100
daily_0179,CL,session_reversal,10,1.0,1.3216520298985401,3,-1.2345904492060302,2.7287621632580787,-1.2345904492060302,2.2516326733642757,1.4497298050471616,daily_0184
daily_0180,CL,session_reversal,10,1.5,1.410765592971595,3,-0.1355294159989658,2.98146427777218,1.4913823737401675,-0.1355294159989658,1.4699679905705016,daily_0184
daily_0183,CL,session_reversal,20,1.0,1.307172531828507,4,0.6357541463428675,0.6357541463428675,0.7438383748321129,1.7716031110406085,1.9295163978573533,daily_0184
daily_0187,CL,session_reversal,40,1.0,0.8793490632035754,3,-0.3030195566216529,0.5463744638593586,-0.3030195566216529,0.6015468246516218,2.0732490552265754,daily_0184
daily_0188,CL,session_reversal,40,1.5,1.5138897825958568,4,0.27964272039180593,1.8920920008595021,0.27964272039180593,2.275916792490094,1.6864711196756093,daily_0184
daily_0437,NG,session_reversal,20,0.0,0.4177033929756865,2,-0.6586008845577561,-0.6586008845577561,-0.40117168342812454,1.5424833008262324,0.926943183174088,daily_0442
daily_0438,NG,session_reversal,20,0.5,0.610930675606107,2,-0.3516003636556669,-0.3516003636556669,-0.1806635191316279,1.0405255199149144,2.0656204718782236,daily_0442
daily_0439,NG,session_reversal,20,1.0,-0.3145211831328525,2,-1.4231237010839977,-1.2519167716235302,-1.4231237010839977,0.05531328147401409,1.8591923141274738,daily_0442
daily_0441,NG,session_reversal,40,0.0,0.3236180996856453,3,-0.2923303146846153,-0.2923303146846153,0.1300719164415257,0.3370255868801095,1.0359536557761635,daily_0442
daily_0443,NG,session_reversal,40,1.0,0.9606416918858296,3,-0.25777902570312516,2.4589016614451693,-0.25777902570312516,2.00293759744758,2.5974717373785325,daily_0442
daily_0445,NG,session_reversal,60,0.0,0.857542437028618,3,-0.7590445189593602,1.5313402519402206,0.6040419987421426,2.0725726978456644,-0.7590445189593602,daily_0442
daily_0446,NG,session_reversal,60,0.5,0.9826888875957783,4,0.23879530209386393,0.23879530209386393,0.30631748002399395,2.306582274492438,1.1082517310244344,daily_0442
daily_0447,NG,session_reversal,60,1.0,0.5064396321774235,3,0.17368674618727514,0.17368674618727514,0.6267700472742188,1.1218699612842211,,daily_0442
