one_way_cost_bps,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years
0.0,513,2023-08-22,2025-08-15,0.6944627799325094,0.264150638079911,0.10021052465909178,2.6359570412242674,-0.039602671565992065,0.35477582846003897,0.8,1.0,1.0,182,20,9,3,25,9,3
0.5,513,2023-08-22,2025-08-15,0.6733387820188119,0.2579717782135046,0.10010373969264158,2.5770443642323544,-0.040327048599249515,0.35477582846003897,0.76,0.8888888888888888,1.0,182,19,8,3,25,9,3
1.0,513,2023-08-22,2025-08-15,0.6524786408221876,0.2517935361713079,0.1,2.517935361713079,-0.04105085413059295,0.3508771929824561,0.72,0.8888888888888888,1.0,180,18,8,3,25,9,3
2.0,513,2023-08-22,2025-08-15,0.6115367606330757,0.23943890518890387,0.09980169035133862,2.399146791462058,-0.042496752578522146,0.3489278752436647,0.68,0.8888888888888888,1.0,179,17,8,3,25,9,3
3.5,513,2023-08-22,2025-08-15,0.5520216423009368,0.22091159008093372,0.09952727089024943,2.2196086369587795,-0.04466132579397952,0.34502923976608185,0.68,0.8888888888888888,1.0,177,17,8,3,25,9,3
