fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years
1,129,2023-08-22,2024-02-20,0.08027496311148052,0.1549111786864945,0.09018074100458127,1.7177856043412294,-0.04105085413059295,0.2868217054263566,0.5714285714285714,0.6666666666666666,1.0,37,4,2,2,7,3,2
2,128,2024-02-21,2024-08-19,0.11872514006114177,0.22701834807774157,0.11077658735008777,2.049335094249604,-0.03046328314810054,0.4609375,0.7142857142857143,1.0,1.0,59,5,3,1,7,3,1
3,128,2024-08-20,2025-02-17,0.17012002172145313,0.3130042456320793,0.08413685143741051,3.7201801622553408,-0.034311127101072425,0.359375,0.7142857142857143,0.6666666666666666,1.0,46,5,2,2,7,3,2
4,128,2025-02-18,2025-08-15,0.16855117287090904,0.3129972657067662,0.11268381171641544,2.777659549665107,-0.019683773557715223,0.296875,0.7142857142857143,1.0,1.0,38,5,3,1,7,3,1
