strategy,hypothesis_id,symbol,folder
unique_00001,H012,6E,strategies/H012/unique_00001
unique_00002,H012,6J,strategies/H012/unique_00002
unique_00003,H012,CL,strategies/H012/unique_00003
unique_00004,H012,ES,strategies/H012/unique_00004
unique_00005,H012,GC,strategies/H012/unique_00005
unique_00006,H012,HG,strategies/H012/unique_00006
unique_00007,H012,NG,strategies/H012/unique_00007
unique_00008,H012,NKD,strategies/H012/unique_00008
unique_00009,H012,ZC,strategies/H012/unique_00009
unique_00010,H012,ZN,strategies/H012/unique_00010
unique_00011,H013,6E,strategies/H013/unique_00011
unique_00012,H013,6J,strategies/H013/unique_00012
unique_00013,H013,CL,strategies/H013/unique_00013
unique_00014,H013,ES,strategies/H013/unique_00014
unique_00015,H013,GC,strategies/H013/unique_00015
unique_00016,H013,HG,strategies/H013/unique_00016
unique_00017,H013,NG,strategies/H013/unique_00017
unique_00018,H013,NKD,strategies/H013/unique_00018
unique_00019,H013,ZC,strategies/H013/unique_00019
unique_00020,H013,ZN,strategies/H013/unique_00020
unique_00021,H013,6E,strategies/H013/unique_00021
unique_00022,H013,6J,strategies/H013/unique_00022
unique_00023,H013,CL,strategies/H013/unique_00023
unique_00024,H013,ES,strategies/H013/unique_00024
unique_00025,H013,GC,strategies/H013/unique_00025
unique_00026,H013,HG,strategies/H013/unique_00026
unique_00027,H013,NG,strategies/H013/unique_00027
unique_00028,H013,NKD,strategies/H013/unique_00028
unique_00029,H013,ZC,strategies/H013/unique_00029
unique_00030,H013,ZN,strategies/H013/unique_00030
unique_00031,H013,6E,strategies/H013/unique_00031
unique_00032,H013,6J,strategies/H013/unique_00032
unique_00033,H013,CL,strategies/H013/unique_00033
unique_00034,H013,ES,strategies/H013/unique_00034
unique_00035,H013,GC,strategies/H013/unique_00035
unique_00036,H013,HG,strategies/H013/unique_00036
unique_00037,H013,NG,strategies/H013/unique_00037
unique_00038,H013,NKD,strategies/H013/unique_00038
unique_00039,H013,ZC,strategies/H013/unique_00039
unique_00040,H013,ZN,strategies/H013/unique_00040
unique_00041,H013,6E,strategies/H013/unique_00041
unique_00042,H013,6J,strategies/H013/unique_00042
unique_00043,H013,CL,strategies/H013/unique_00043
unique_00044,H013,ES,strategies/H013/unique_00044
unique_00045,H013,GC,strategies/H013/unique_00045
unique_00046,H013,HG,strategies/H013/unique_00046
unique_00047,H013,NG,strategies/H013/unique_00047
unique_00048,H013,NKD,strategies/H013/unique_00048
unique_00049,H013,ZC,strategies/H013/unique_00049
unique_00050,H013,ZN,strategies/H013/unique_00050
unique_00051,H016,6E,strategies/H016/unique_00051
unique_00052,H016,6J,strategies/H016/unique_00052
unique_00053,H016,CL,strategies/H016/unique_00053
unique_00054,H016,ES,strategies/H016/unique_00054
unique_00055,H016,GC,strategies/H016/unique_00055
unique_00056,H016,HG,strategies/H016/unique_00056
unique_00057,H016,NG,strategies/H016/unique_00057
unique_00058,H016,NKD,strategies/H016/unique_00058
unique_00059,H016,ZC,strategies/H016/unique_00059
unique_00060,H016,ZN,strategies/H016/unique_00060
unique_00061,H016,6E,strategies/H016/unique_00061
unique_00062,H016,6J,strategies/H016/unique_00062
unique_00063,H016,CL,strategies/H016/unique_00063
unique_00064,H016,ES,strategies/H016/unique_00064
unique_00065,H016,GC,strategies/H016/unique_00065
unique_00066,H016,HG,strategies/H016/unique_00066
unique_00067,H016,NG,strategies/H016/unique_00067
unique_00068,H016,NKD,strategies/H016/unique_00068
unique_00069,H016,ZC,strategies/H016/unique_00069
unique_00070,H016,ZN,strategies/H016/unique_00070
unique_00071,H016,6E,strategies/H016/unique_00071
unique_00072,H016,6J,strategies/H016/unique_00072
unique_00073,H016,CL,strategies/H016/unique_00073
unique_00074,H016,ES,strategies/H016/unique_00074
unique_00075,H016,GC,strategies/H016/unique_00075
unique_00076,H016,HG,strategies/H016/unique_00076
unique_00077,H016,NG,strategies/H016/unique_00077
unique_00078,H016,NKD,strategies/H016/unique_00078
unique_00079,H016,ZC,strategies/H016/unique_00079
unique_00080,H016,ZN,strategies/H016/unique_00080
unique_00081,H016,6E,strategies/H016/unique_00081
unique_00082,H016,6J,strategies/H016/unique_00082
unique_00083,H016,CL,strategies/H016/unique_00083
unique_00084,H016,ES,strategies/H016/unique_00084
unique_00085,H016,GC,strategies/H016/unique_00085
unique_00086,H016,HG,strategies/H016/unique_00086
unique_00087,H016,NG,strategies/H016/unique_00087
unique_00088,H016,NKD,strategies/H016/unique_00088
unique_00089,H016,ZC,strategies/H016/unique_00089
unique_00090,H016,ZN,strategies/H016/unique_00090
unique_00091,H016,6E,strategies/H016/unique_00091
unique_00092,H016,6J,strategies/H016/unique_00092
unique_00093,H016,CL,strategies/H016/unique_00093
unique_00094,H016,ES,strategies/H016/unique_00094
unique_00095,H016,GC,strategies/H016/unique_00095
unique_00096,H016,HG,strategies/H016/unique_00096
unique_00097,H016,NG,strategies/H016/unique_00097
unique_00098,H016,NKD,strategies/H016/unique_00098
unique_00099,H016,ZC,strategies/H016/unique_00099
unique_00100,H016,ZN,strategies/H016/unique_00100
