name,hypothesis_id,symbol,timeframe_minutes,lookback,threshold,direction,leader
unique_00001,H007,6E,1440,5,0.2,1,
unique_00002,H007,6J,1440,5,0.2,1,
unique_00003,H007,CL,1440,5,0.2,1,
unique_00004,H007,ES,1440,5,0.2,1,
unique_00005,H007,GC,1440,5,0.2,1,
unique_00006,H007,HG,1440,5,0.2,1,
unique_00007,H007,NG,1440,5,0.2,1,
unique_00008,H007,NKD,1440,5,0.2,1,
unique_00009,H007,ZC,1440,5,0.2,1,
unique_00010,H007,ZN,1440,5,0.2,1,
unique_00011,H007,6E,1440,5,0.4,1,
unique_00012,H007,6J,1440,5,0.4,1,
unique_00013,H007,CL,1440,5,0.4,1,
unique_00014,H007,ES,1440,5,0.4,1,
unique_00015,H007,GC,1440,5,0.4,1,
unique_00016,H007,HG,1440,5,0.4,1,
unique_00017,H007,NG,1440,5,0.4,1,
unique_00018,H007,NKD,1440,5,0.4,1,
unique_00019,H007,ZC,1440,5,0.4,1,
unique_00020,H007,ZN,1440,5,0.4,1,
unique_00021,H007,6E,1440,10,0.2,1,
unique_00022,H007,6J,1440,10,0.2,1,
unique_00023,H007,CL,1440,10,0.2,1,
unique_00024,H007,ES,1440,10,0.2,1,
unique_00025,H007,GC,1440,10,0.2,1,
unique_00026,H007,HG,1440,10,0.2,1,
unique_00027,H007,NG,1440,10,0.2,1,
unique_00028,H007,NKD,1440,10,0.2,1,
unique_00029,H007,ZC,1440,10,0.2,1,
unique_00030,H007,ZN,1440,10,0.2,1,
unique_00031,H007,6E,1440,10,0.4,1,
unique_00032,H007,6J,1440,10,0.4,1,
unique_00033,H007,CL,1440,10,0.4,1,
unique_00034,H007,ES,1440,10,0.4,1,
unique_00035,H007,GC,1440,10,0.4,1,
unique_00036,H007,HG,1440,10,0.4,1,
unique_00037,H007,NG,1440,10,0.4,1,
unique_00038,H007,NKD,1440,10,0.4,1,
unique_00039,H007,ZC,1440,10,0.4,1,
unique_00040,H007,ZN,1440,10,0.4,1,
unique_00041,H007,6E,1440,20,0.2,1,
unique_00042,H007,6J,1440,20,0.2,1,
unique_00043,H007,CL,1440,20,0.2,1,
unique_00044,H007,ES,1440,20,0.2,1,
unique_00045,H007,GC,1440,20,0.2,1,
unique_00046,H007,HG,1440,20,0.2,1,
unique_00047,H007,NG,1440,20,0.2,1,
unique_00048,H007,NKD,1440,20,0.2,1,
unique_00049,H007,ZC,1440,20,0.2,1,
unique_00050,H007,ZN,1440,20,0.2,1,
unique_00051,H007,6E,1440,20,0.4,1,
unique_00052,H007,6J,1440,20,0.4,1,
unique_00053,H007,CL,1440,20,0.4,1,
unique_00054,H007,ES,1440,20,0.4,1,
unique_00055,H007,GC,1440,20,0.4,1,
unique_00056,H007,HG,1440,20,0.4,1,
unique_00057,H007,NG,1440,20,0.4,1,
unique_00058,H007,NKD,1440,20,0.4,1,
unique_00059,H007,ZC,1440,20,0.4,1,
unique_00060,H007,ZN,1440,20,0.4,1,
unique_00061,H007,6E,1440,40,0.2,1,
unique_00062,H007,6J,1440,40,0.2,1,
unique_00063,H007,CL,1440,40,0.2,1,
unique_00064,H007,ES,1440,40,0.2,1,
unique_00065,H007,GC,1440,40,0.2,1,
unique_00066,H007,HG,1440,40,0.2,1,
unique_00067,H007,NG,1440,40,0.2,1,
unique_00068,H007,NKD,1440,40,0.2,1,
unique_00069,H007,ZC,1440,40,0.2,1,
unique_00070,H007,ZN,1440,40,0.2,1,
unique_00071,H007,6E,1440,40,0.4,1,
unique_00072,H007,6J,1440,40,0.4,1,
unique_00073,H007,CL,1440,40,0.4,1,
unique_00074,H007,ES,1440,40,0.4,1,
unique_00075,H007,GC,1440,40,0.4,1,
unique_00076,H007,HG,1440,40,0.4,1,
unique_00077,H007,NG,1440,40,0.4,1,
unique_00078,H007,NKD,1440,40,0.4,1,
unique_00079,H007,ZC,1440,40,0.4,1,
unique_00080,H007,ZN,1440,40,0.4,1,
unique_00081,H008,6E,15,20,0.0,1,
unique_00082,H008,6E,15,20,0.1,1,
unique_00083,H008,6E,15,20,0.2,1,
unique_00084,H008,6E,15,60,0.0,1,
unique_00085,H008,6E,15,60,0.1,1,
unique_00086,H008,6E,15,60,0.2,1,
unique_00087,H009,6E,15,40,1.0,-1,
unique_00088,H009,6E,15,40,1.0,1,
unique_00089,H009,6E,15,40,2.0,-1,
unique_00090,H009,6E,15,40,2.0,1,
unique_00091,H009,6E,15,160,1.0,-1,
unique_00092,H009,6E,15,160,1.0,1,
unique_00093,H009,6E,15,160,2.0,-1,
unique_00094,H009,6E,15,160,2.0,1,
unique_00095,H010,6E,15,80,1.0,-1,
unique_00096,H010,6E,15,80,2.0,-1,
unique_00097,H010,6E,15,160,1.0,-1,
unique_00098,H010,6E,15,160,2.0,-1,
unique_00099,H011,6E,15,8,0.1,1,
unique_00100,H011,6E,15,8,0.25,1,
unique_00101,H011,6E,15,8,0.5,1,
unique_00102,H011,6E,15,16,0.1,1,
unique_00103,H011,6E,15,16,0.25,1,
unique_00104,H011,6E,15,16,0.5,1,
unique_00105,H011,6E,15,32,0.1,1,
unique_00106,H011,6E,15,32,0.25,1,
unique_00107,H011,6E,15,32,0.5,1,
unique_00108,H008,6J,15,20,0.0,1,
unique_00109,H008,6J,15,20,0.1,1,
unique_00110,H008,6J,15,20,0.2,1,
unique_00111,H008,6J,15,60,0.0,1,
unique_00112,H008,6J,15,60,0.1,1,
unique_00113,H008,6J,15,60,0.2,1,
unique_00114,H009,6J,15,40,1.0,-1,
unique_00115,H009,6J,15,40,1.0,1,
unique_00116,H009,6J,15,40,2.0,-1,
unique_00117,H009,6J,15,40,2.0,1,
unique_00118,H009,6J,15,160,1.0,-1,
unique_00119,H009,6J,15,160,1.0,1,
unique_00120,H009,6J,15,160,2.0,-1,
unique_00121,H009,6J,15,160,2.0,1,
unique_00122,H010,6J,15,80,1.0,-1,
unique_00123,H010,6J,15,80,2.0,-1,
unique_00124,H010,6J,15,160,1.0,-1,
unique_00125,H010,6J,15,160,2.0,-1,
unique_00126,H011,6J,15,8,0.1,1,
unique_00127,H011,6J,15,8,0.25,1,
unique_00128,H011,6J,15,8,0.5,1,
unique_00129,H011,6J,15,16,0.1,1,
unique_00130,H011,6J,15,16,0.25,1,
unique_00131,H011,6J,15,16,0.5,1,
unique_00132,H011,6J,15,32,0.1,1,
unique_00133,H011,6J,15,32,0.25,1,
unique_00134,H011,6J,15,32,0.5,1,
unique_00135,H008,CL,15,20,0.0,1,
unique_00136,H008,CL,15,20,0.1,1,
unique_00137,H008,CL,15,20,0.2,1,
unique_00138,H008,CL,15,60,0.0,1,
unique_00139,H008,CL,15,60,0.1,1,
unique_00140,H008,CL,15,60,0.2,1,
unique_00141,H009,CL,15,40,1.0,-1,
unique_00142,H009,CL,15,40,1.0,1,
unique_00143,H009,CL,15,40,2.0,-1,
unique_00144,H009,CL,15,40,2.0,1,
unique_00145,H009,CL,15,160,1.0,-1,
unique_00146,H009,CL,15,160,1.0,1,
unique_00147,H009,CL,15,160,2.0,-1,
unique_00148,H009,CL,15,160,2.0,1,
unique_00149,H010,CL,15,80,1.0,-1,
unique_00150,H010,CL,15,80,2.0,-1,
unique_00151,H010,CL,15,160,1.0,-1,
unique_00152,H010,CL,15,160,2.0,-1,
unique_00153,H011,CL,15,8,0.1,1,
unique_00154,H011,CL,15,8,0.25,1,
unique_00155,H011,CL,15,8,0.5,1,
unique_00156,H011,CL,15,16,0.1,1,
unique_00157,H011,CL,15,16,0.25,1,
unique_00158,H011,CL,15,16,0.5,1,
