evaluation_fold,hypothesis_id,strategy,symbol,training_score,training_trades,prior_fold_sharpes
2,H007,unique_00027,NG,1.8266348566213462,112,[1.8266348566213462]
2,H007,unique_00024,ES,1.3618536592620385,98,[1.3618536592620385]
2,H007,unique_00013,CL,1.2044185575968545,99,[1.2044185575968545]
2,H008,unique_01055,NG,0.414653060814932,112,[0.414653060814932]
2,H009,unique_00795,NG,1.642766142373218,87,[1.642766142373218]
2,H009,unique_00984,ES,0.8871663062906487,23,[0.8871663062906487]
2,H009,unique_00953,CL,0.5738197964723509,37,[0.5738197964723509]
2,H010,unique_01067,NG,2.001842789969759,75,[2.001842789969759]
2,H010,unique_00960,CL,0.2888826137100892,31,[0.2888826137100892]
2,H011,unique_00966,CL,2.1132296813417732,46,[2.1132296813417732]
2,H011,unique_00672,6J,1.5037602691046776,32,[1.5037602691046776]
2,H011,unique_00834,NKD,1.2953387270195047,26,[1.2953387270195047]
2,H007,__FAMILY_WEIGHT__,,0.08976747336749719,0,"{""leverage"": 2.0}"
2,H008,__FAMILY_WEIGHT__,,0.05734535246066515,0,"{""leverage"": 2.0}"
2,H009,__FAMILY_WEIGHT__,,0.2592613236380899,0,"{""leverage"": 2.0}"
2,H010,__FAMILY_WEIGHT__,,0.1936258505337478,0,"{""leverage"": 2.0}"
2,H011,__FAMILY_WEIGHT__,,0.4,0,"{""leverage"": 2.0}"
3,H007,unique_00075,GC,0.6772158205519205,75,"[0.13221593166583845, 1.5855489686953905]"
3,H007,unique_00067,NG,0.3059537285330616,206,"[0.877063421669308, -0.036712087348686244]"
3,H007,unique_00013,CL,0.16626528820303005,195,"[1.2044185575968545, -0.4566266734332646]"
3,H009,unique_00953,CL,1.0129072508632146,74,"[0.5738197964723509, 1.7447196748479872]"
3,H009,unique_01034,HG,0.6357116361991582,70,"[-0.1122501913164779, 1.8823146820585515]"
3,H009,unique_01065,NG,0.3613468634751165,71,"[0.16314359784424573, 0.6916856395265679]"
3,H010,unique_01067,NG,0.8614034588095648,140,"[2.001842789969759, 0.1771398601134486]"
3,H010,unique_00960,CL,0.5304795210365789,62,"[0.2888826137100892, 0.9331410332473952]"
3,H011,unique_00969,CL,1.5813415888053683,23,"[0.9685282774651955, 2.6026971077056564]"
3,H011,unique_00834,NKD,1.0946095693216813,48,"[1.2953387270195047, 0.9741720747029872]"
3,H007,__FAMILY_WEIGHT__,,0.09462210747449853,0,"{""leverage"": 2.0}"
3,H009,__FAMILY_WEIGHT__,,0.28616735460265497,0,"{""leverage"": 2.0}"
3,H010,__FAMILY_WEIGHT__,,0.21921053792284662,0,"{""leverage"": 2.0}"
3,H011,__FAMILY_WEIGHT__,,0.4,0,"{""leverage"": 2.0}"
4,H007,unique_00075,GC,0.18809045969931204,152,"[0.13221593166583845, 1.5855489686953905, -0.4989178600628176]"
4,H009,unique_00953,CL,0.9151541918582653,116,"[0.5738197964723509, 1.7447196748479872, 0.8065106835333494]"
4,H009,unique_01065,NG,0.39974255565020866,110,"[0.16314359784424573, 0.6916856395265679, 0.5087668021146435]"
4,H011,unique_00967,CL,0.6558502178435656,19,"[1.5389443034033972, 1.2598634036696101, -0.24398233375361583]"
4,H011,unique_00832,NKD,0.39022231151044373,45,"[0.24598358711024382, 2.0905510151525, -0.379473688891663]"
4,H007,__FAMILY_WEIGHT__,,0.2966326843303078,0,"{""leverage"": 2.0}"
4,H009,__FAMILY_WEIGHT__,,0.30336731566969216,0,"{""leverage"": 2.0}"
4,H011,__FAMILY_WEIGHT__,,0.4000000000000001,0,"{""leverage"": 2.0}"
