best_days_removed,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
0,384,2024-02-21,2025-08-15,-0.31045898758186086,-0.2403782627775532,0.08308735703965701,-2.893078698637897,-0.31682635620045463,0.390625,0.15789473684210525,0.14285714285714285,0.0,150,3,1,0,19,7,2,0.34615384615384615,27,78
1,383,2024-02-21,2025-08-15,-0.32367870999216886,-0.25386677285860504,0.08150836392729707,-3.1146100918556816,-0.3299240048775024,0.38903394255874674,0.15789473684210525,0.14285714285714285,0.0,149,3,1,0,19,7,2,0.3333333333333333,26,78
3,381,2024-02-21,2025-08-15,-0.34550473469579346,-0.27707970139355986,0.07911526628826537,-3.5022280072216256,-0.35154848341887746,0.3858267716535433,0.15789473684210525,0.14285714285714285,0.0,147,3,1,0,19,7,2,0.3333333333333333,26,78
5,379,2024-02-21,2025-08-15,-0.359915176059566,-0.29342789261687835,0.07803619717922591,-3.7601510994053418,-0.3658258556968855,0.38258575197889183,0.10526315789473684,0.14285714285714285,0.0,145,2,1,0,19,7,2,0.3333333333333333,26,78
10,374,2024-02-21,2025-08-15,-0.3901399144504796,-0.33010209212052866,0.07591993992689217,-4.348028889885893,-0.395771492413976,0.37433155080213903,0.10526315789473684,0.14285714285714285,0.0,140,2,1,0,19,7,2,0.2948717948717949,23,78
