fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
2,128,2024-02-21,2024-08-19,-0.09641659387426227,-0.19664644099055803,0.07611566324839504,-2.5835213489347675,-0.10949218596085986,0.4453125,0.2857142857142857,0.6666666666666666,0.0,57,2,2,0,7,3,1,0.37037037037037035,10,27
3,128,2024-08-20,2025-02-17,-0.1079512665960668,-0.22183088191231526,0.07728130708236339,-2.8704338770551154,-0.1180163930681114,0.4296875,0.14285714285714285,0.0,0.0,55,1,0,0,7,3,2,0.3333333333333333,9,27
4,128,2025-02-18,2025-08-15,-0.14453297350534144,-0.3026574654297862,0.09501953020074623,-3.1852132376403746,-0.13747273186724707,0.296875,0.14285714285714285,0.0,0.0,38,1,0,0,7,3,1,0.34615384615384615,9,26
