one_way_cost_bps,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
0.0,384,2024-02-21,2025-08-15,-0.14884962826163906,-0.10228383010945409,0.08322359573705819,-1.2290244035191171,-0.18254773237680844,0.4166666666666667,0.42105263157894735,0.2857142857142857,0.0,160,8,2,0,19,7,2,0.46153846153846156,36,78
0.5,384,2024-02-21,2025-08-15,-0.17406277732907094,-0.12201160620489683,0.08317829774189428,-1.4668682759474585,-0.1966748866140141,0.4140625,0.42105263157894735,0.2857142857142857,0.0,159,8,2,0,19,7,2,0.44871794871794873,35,78
1.0,384,2024-02-21,2025-08-15,-0.19853181057461555,-0.14173938230033956,0.08314159698173225,-1.704795041782543,-0.2180365238382489,0.4088541666666667,0.3157894736842105,0.2857142857142857,0.0,157,6,2,0,19,7,2,0.41025641025641024,32,78
2.0,384,2024-02-21,2025-08-15,-0.2453244078030622,-0.181194934491225,0.08309403006437283,-2.1806011135920786,-0.2591097740298828,0.4036458333333333,0.2631578947368421,0.2857142857142857,0.0,155,5,2,0,19,7,2,0.38461538461538464,30,78
3.5,384,2024-02-21,2025-08-15,-0.31045898758186086,-0.2403782627775532,0.08308735703965701,-2.893078698637897,-0.31682635620045463,0.390625,0.15789473684210525,0.14285714285714285,0.0,150,3,1,0,19,7,2,0.34615384615384615,27,78
5.0,384,2024-02-21,2025-08-15,-0.369991481875796,-0.2995615910638814,0.08315829734746173,-3.6023054898805604,-0.3722207013192226,0.375,0.15789473684210525,0.0,0.0,144,3,0,0,19,7,2,0.2948717948717949,23,78
