evaluation_fold,strategy,training_score,prior_fold_sharpes,leverage
2,h019_240m_train20_threshold1p25,-1.4944299039547602,[-1.4944299039547602],1.434224212070121
3,h019_240m_train20_threshold1p25,-1.6215729180267966,"[-1.4944299039547602, -1.6978587264700185]",1.1935496410726703
4,h019_240m_train40_threshold1p25,-0.6144634169562442,"[-2.2002572393189244, -0.8884359013039499, 2.8500305372211514]",1.371195870797956
