fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
2,128,2024-02-21,2024-08-19,-0.11644535381948151,-0.23411573038680938,0.1378888165056903,-1.6978587264700187,-0.14170382217801447,0.390625,0.14285714285714285,0.0,0.0,50,1,0,0,7,3,1,0.4074074074074074,11,27
3,128,2024-08-20,2025-02-17,0.08820065403824251,0.17031130078951384,0.08821536604479914,1.930630778123431,-0.02882890990519016,0.421875,0.7142857142857143,0.6666666666666666,0.5,54,5,2,1,7,3,2,0.5185185185185185,14,27
4,128,2025-02-18,2025-08-15,-0.09480502609438424,-0.18617120024559064,0.14099671804720185,-1.3203938561411455,-0.1117154082420162,0.3359375,0.42857142857142855,0.3333333333333333,0.0,43,3,1,0,7,3,1,0.3076923076923077,8,26
