file,size_mb,sha256
CLU6_Export.csv,70.82,3e5332b5380ff979034219840598b7d1077b08cff9bb5e993b8fb40a2ba2fee6
ESU6_Export.csv,10.55,c33903a274e11fe184e8c9a0a01030324770af47a490e2ebb9124016309e09d5
GCU6_Export.csv,0.08,397e2b2c93a52af4e8bdfd9895d2e27f7a426d4e3603e0193863788da2db28b4
HGU6_Export.csv,69.22,b9a2756737610187af69b9ed1c0e398052ecdc9ac15643f54e368720da1c947d
NQU6_Ticks.txt,119.67,6b70c8fd1218f93fcdeeb7a6c013402dab6124185f2718b117a7da3cc1d8c43a
ZNU6_Export.csv,77.13,c00ade45fca1c6a3d9305a1591cc7f0f24837fc8949f8e03ac847dd314d3b99c
