subperiod,start,end,total_return,sharpe
1,2024-02-21,2024-07-04,0.018059756846869668,0.48019140380488284
2,2024-07-05,2024-11-15,-0.07203623613384191,-1.9447236679618052
3,2024-11-18,2025-04-02,0.03299733390361559,1.117103639177138
4,2025-04-03,2025-08-15,-0.1350320585148569,-2.4977654735883945
