best_days_removed,total_return,sharpe,share_of_net_sum_removed
0,-0.15588134119239883,-0.9364931228277662,
1,-0.17592015107200443,-1.098155512266368,
3,-0.20607713522628268,-1.3541456825549658,
5,-0.2311913426981197,-1.5815645209959526,
10,-0.2867548101673676,-2.146102647173864,
