evaluation_fold,strategy,training_score,prior_fold_sharpes,leverage
2,h024_w40_m05_t1p0_k3,3.3212076228403276,[3.3212076228403276],0.9688144359125728
3,h024_w60_m05_t1p0_k3,1.538692635790238,"[2.221898091244055, 1.128769362517948]",0.8345917773691555
4,h024_w60_m05_t1p0_k5,0.5800733084300106,"[0.9519068884465641, 2.1378566908884213, -0.5307661928455936]",0.9637762371433944
