fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
2,128,2024-02-21,2024-08-19,0.015108296489754425,0.03521990255292839,0.10705978749767926,0.3289741496422441,-0.10207296423073375,0.4765625,0.7142857142857143,0.3333333333333333,1.0,61,5,1,1,7,3,1,0.5555555555555556,15,27
3,128,2024-08-20,2025-02-17,-0.036474389281538566,-0.06897182697815978,0.09164983972264018,-0.7525580752447484,-0.07408130897980525,0.515625,0.5714285714285714,0.3333333333333333,0.5,66,4,1,1,7,3,2,0.4444444444444444,12,27
4,128,2025-02-18,2025-08-15,-0.13696609004220883,-0.2809620561206178,0.13331527757511114,-2.107500814843378,-0.14876904611821884,0.46875,0.14285714285714285,0.0,0.0,60,1,0,0,7,3,1,0.38461538461538464,10,26
