one_way_cost_bps,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
0.0,513,2023-08-22,2025-08-15,-0.0950453821551922,-0.03332246323975933,0.1774450999594227,-0.1877902700462247,-0.2355055320255559,0.49902534113060426,0.52,0.3333333333333333,0.3333333333333333,256,13,3,1,25,9,3,0.4519230769230769,47,104
0.5,513,2023-08-22,2025-08-15,-0.14031242896299767,-0.05852246323975941,0.1774450999594227,-0.3298060259378368,-0.2655047872380901,0.4951267056530214,0.44,0.2222222222222222,0.3333333333333333,254,11,2,1,25,9,3,0.4519230769230769,47,104
1.0,513,2023-08-22,2025-08-15,-0.1833193503243239,-0.08372246323975926,0.1774450999594227,-0.4718217818294476,-0.29432968009506866,0.48927875243664715,0.44,0.2222222222222222,0.3333333333333333,251,11,2,1,25,9,3,0.4519230769230769,47,104
2.0,513,2023-08-22,2025-08-15,-0.2629977568642001,-0.13412246323975918,0.1774450999594227,-0.7558532936126704,-0.34863803737376464,0.47173489278752434,0.4,0.1111111111111111,0.0,242,10,1,0,25,9,3,0.4519230769230769,47,104
3.5,513,2023-08-22,2025-08-15,-0.3682039721669502,-0.20972246323975924,0.1774450999594227,-1.1819005612875058,-0.4223827617468713,0.4522417153996101,0.4,0.1111111111111111,0.0,232,10,1,0,25,9,3,0.4230769230769231,44,104
5.0,513,2023-08-22,2025-08-15,-0.4584171788133754,-0.28532246323975957,0.1774450999594227,-1.6079478289623423,-0.4877968837124923,0.4405458089668616,0.36,0.1111111111111111,0.0,226,9,1,0,25,9,3,0.41346153846153844,43,104
