fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
1,129,2023-08-22,2024-02-20,-0.09947399435709348,-0.19682376455893952,0.1251152404042684,-1.5731398023371796,-0.1674544512597036,0.4418604651162791,0.42857142857142855,0.0,0.0,57,3,0,0,7,3,2,0.3333333333333333,9,27
2,128,2024-02-21,2024-08-19,-0.03960094211575815,-0.06426846487883531,0.17521510003897567,-0.3667975240977469,-0.15161711985313475,0.546875,0.2857142857142857,0.6666666666666666,0.0,70,2,2,0,7,3,1,0.48148148148148145,13,27
3,128,2024-08-20,2025-02-17,-0.04276703660309955,-0.06474743717613113,0.20701250055409762,-0.31277066362091976,-0.1509015242269427,0.484375,0.42857142857142855,0.3333333333333333,0.5,62,3,1,1,7,3,2,0.4074074074074074,11,27
4,128,2025-02-18,2025-08-15,-0.013523745947232935,-0.008166582428575146,0.1937261677863013,-0.042155288167284026,-0.09660790857891088,0.484375,0.5714285714285714,0.3333333333333333,0.0,62,4,1,0,7,3,1,0.5384615384615384,14,26
