fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
2,128,2024-02-21,2024-08-19,-0.0836586730417842,-0.1705689250739291,0.05240269643842647,-3.2549646614912042,-0.0872916862097175,0.0859375,0.2857142857142857,0.0,0.0,11,2,0,0,7,3,1,0.14814814814814814,4,27
3,128,2024-08-20,2025-02-17,-0.0013639941421955681,-0.002561239594075971,0.015903412959689694,-0.16104968163550384,-0.009386958424695613,0.03125,0.42857142857142855,0.3333333333333333,0.5,4,3,1,1,7,3,2,0.14814814814814814,4,27
4,128,2025-02-18,2025-08-15,0.052357331073660696,0.10147049423611906,0.04466333134519244,2.271897128583566,-0.007146941725943656,0.0703125,0.7142857142857143,0.6666666666666666,1.0,9,5,2,1,7,3,1,0.2692307692307692,7,26
