one_way_cost_bps,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
0.0,384,2024-02-21,2025-08-15,-0.002023689147196861,-0.0005240568106286657,0.04019251043222194,-0.013038668274090552,-0.063655919426164,0.07552083333333333,0.5263157894736842,0.7142857142857143,0.5,29,10,5,1,19,7,2,0.21794871794871795,17,78
0.5,384,2024-02-21,2025-08-15,-0.01966169131341411,-0.012205306810628667,0.040684248520742386,-0.30000079279837105,-0.07714605959594878,0.0703125,0.5263157894736842,0.5714285714285714,0.5,27,10,4,1,19,7,2,0.20512820512820512,16,78
1.0,384,2024-02-21,2025-08-15,-0.036996811612957425,-0.02388655681062866,0.041302262921426997,-0.5783353046797993,-0.09047916729803596,0.0625,0.47368421052631576,0.42857142857142855,0.5,24,9,3,1,19,7,2,0.19230769230769232,15,78
2.0,384,2024-02-21,2025-08-15,-0.07077854246304649,-0.04724905681062866,0.0428941790635592,-1.1015260774805027,-0.11659285631908967,0.0546875,0.3684210526315789,0.42857142857142855,0.5,21,7,3,1,19,7,2,0.1794871794871795,14,78
3.5,384,2024-02-21,2025-08-15,-0.11930324879383114,-0.08229280681062866,0.04607278018846801,-1.7861480569220458,-0.15441858081737492,0.046875,0.2631578947368421,0.2857142857142857,0.5,18,5,2,1,19,7,2,0.11538461538461539,9,78
5.0,384,2024-02-21,2025-08-15,-0.1653636672388964,-0.11733655681062867,0.05003578227600886,-2.3450529096032375,-0.19328747015258152,0.033854166666666664,0.2631578947368421,0.2857142857142857,0.5,13,5,2,1,19,7,2,0.08974358974358974,7,78
