evaluation_fold,strategy,training_score,prior_fold_sharpes,leverage
2,h019r1_015m_train40_threshold1p75_confirm2,0.6883935377136084,[0.6883935377136084],2.0
3,h019r1_240m_train40_threshold1p25_confirm2,0.4359640980806304,"[1.5405556120422246, -0.22679081029632614]",2.0
4,h019r1_240m_train40_threshold1p25_confirm2,0.17971834161518235,"[1.5405556120422246, -0.22679081029632614, -0.16104968163550384]",2.0
