strategy,hypothesis_id,symbol,folder
unique_00001,H005,6E,strategies/H005/unique_00001
unique_00002,H005,6E,strategies/H005/unique_00002
unique_00003,H005,6E,strategies/H005/unique_00003
unique_00004,H005,6E,strategies/H005/unique_00004
unique_00005,H005,6J,strategies/H005/unique_00005
unique_00006,H005,6J,strategies/H005/unique_00006
unique_00007,H005,6J,strategies/H005/unique_00007
unique_00008,H005,6J,strategies/H005/unique_00008
unique_00009,H005,CL,strategies/H005/unique_00009
unique_00010,H005,CL,strategies/H005/unique_00010
unique_00011,H005,CL,strategies/H005/unique_00011
unique_00012,H005,CL,strategies/H005/unique_00012
unique_00013,H005,ES,strategies/H005/unique_00013
unique_00014,H005,ES,strategies/H005/unique_00014
unique_00015,H005,ES,strategies/H005/unique_00015
unique_00016,H005,ES,strategies/H005/unique_00016
unique_00017,H005,GC,strategies/H005/unique_00017
unique_00018,H005,GC,strategies/H005/unique_00018
unique_00019,H005,GC,strategies/H005/unique_00019
unique_00020,H005,GC,strategies/H005/unique_00020
unique_00021,H005,HG,strategies/H005/unique_00021
unique_00022,H005,HG,strategies/H005/unique_00022
unique_00023,H005,HG,strategies/H005/unique_00023
unique_00024,H005,HG,strategies/H005/unique_00024
unique_00025,H005,NG,strategies/H005/unique_00025
unique_00026,H005,NG,strategies/H005/unique_00026
unique_00027,H005,NG,strategies/H005/unique_00027
unique_00028,H005,NG,strategies/H005/unique_00028
unique_00029,H005,NKD,strategies/H005/unique_00029
unique_00030,H005,NKD,strategies/H005/unique_00030
unique_00031,H005,NKD,strategies/H005/unique_00031
unique_00032,H005,NKD,strategies/H005/unique_00032
unique_00033,H005,ZC,strategies/H005/unique_00033
unique_00034,H005,ZC,strategies/H005/unique_00034
unique_00035,H005,ZC,strategies/H005/unique_00035
unique_00036,H005,ZC,strategies/H005/unique_00036
unique_00037,H005,ZN,strategies/H005/unique_00037
unique_00038,H005,ZN,strategies/H005/unique_00038
unique_00039,H005,ZN,strategies/H005/unique_00039
unique_00040,H005,ZN,strategies/H005/unique_00040
unique_00041,H005,6E,strategies/H005/unique_00041
unique_00042,H005,6E,strategies/H005/unique_00042
unique_00043,H005,6E,strategies/H005/unique_00043
unique_00044,H005,6E,strategies/H005/unique_00044
unique_00045,H005,6J,strategies/H005/unique_00045
unique_00046,H005,6J,strategies/H005/unique_00046
unique_00047,H005,6J,strategies/H005/unique_00047
unique_00048,H005,6J,strategies/H005/unique_00048
unique_00049,H005,CL,strategies/H005/unique_00049
unique_00050,H005,CL,strategies/H005/unique_00050
unique_00051,H005,CL,strategies/H005/unique_00051
unique_00052,H005,CL,strategies/H005/unique_00052
unique_00053,H005,ES,strategies/H005/unique_00053
unique_00054,H005,ES,strategies/H005/unique_00054
unique_00055,H005,ES,strategies/H005/unique_00055
unique_00056,H005,ES,strategies/H005/unique_00056
unique_00057,H005,GC,strategies/H005/unique_00057
unique_00058,H005,GC,strategies/H005/unique_00058
unique_00059,H005,GC,strategies/H005/unique_00059
unique_00060,H005,GC,strategies/H005/unique_00060
unique_00061,H005,HG,strategies/H005/unique_00061
unique_00062,H005,HG,strategies/H005/unique_00062
unique_00063,H005,HG,strategies/H005/unique_00063
unique_00064,H005,HG,strategies/H005/unique_00064
unique_00065,H005,NG,strategies/H005/unique_00065
unique_00066,H005,NG,strategies/H005/unique_00066
unique_00067,H005,NG,strategies/H005/unique_00067
unique_00068,H005,NG,strategies/H005/unique_00068
unique_00069,H005,NKD,strategies/H005/unique_00069
unique_00070,H005,NKD,strategies/H005/unique_00070
unique_00071,H005,NKD,strategies/H005/unique_00071
unique_00072,H005,NKD,strategies/H005/unique_00072
unique_00073,H005,ZC,strategies/H005/unique_00073
unique_00074,H005,ZC,strategies/H005/unique_00074
unique_00075,H005,ZC,strategies/H005/unique_00075
unique_00076,H005,ZC,strategies/H005/unique_00076
unique_00077,H005,ZN,strategies/H005/unique_00077
unique_00078,H005,ZN,strategies/H005/unique_00078
unique_00079,H005,ZN,strategies/H005/unique_00079
unique_00080,H005,ZN,strategies/H005/unique_00080
unique_00081,H005,6E,strategies/H005/unique_00081
unique_00082,H005,6E,strategies/H005/unique_00082
unique_00083,H005,6E,strategies/H005/unique_00083
unique_00084,H005,6E,strategies/H005/unique_00084
unique_00085,H005,6J,strategies/H005/unique_00085
unique_00086,H005,6J,strategies/H005/unique_00086
unique_00087,H005,6J,strategies/H005/unique_00087
unique_00088,H005,6J,strategies/H005/unique_00088
unique_00089,H005,CL,strategies/H005/unique_00089
unique_00090,H005,CL,strategies/H005/unique_00090
unique_00091,H005,CL,strategies/H005/unique_00091
unique_00092,H005,CL,strategies/H005/unique_00092
unique_00093,H005,ES,strategies/H005/unique_00093
unique_00094,H005,ES,strategies/H005/unique_00094
unique_00095,H005,ES,strategies/H005/unique_00095
unique_00096,H005,ES,strategies/H005/unique_00096
unique_00097,H005,GC,strategies/H005/unique_00097
unique_00098,H005,GC,strategies/H005/unique_00098
unique_00099,H005,GC,strategies/H005/unique_00099
unique_00100,H005,GC,strategies/H005/unique_00100
unique_00101,H005,HG,strategies/H005/unique_00101
unique_00102,H005,HG,strategies/H005/unique_00102
unique_00103,H005,HG,strategies/H005/unique_00103
unique_00104,H005,HG,strategies/H005/unique_00104
unique_00105,H005,NG,strategies/H005/unique_00105
unique_00106,H005,NG,strategies/H005/unique_00106
unique_00107,H005,NG,strategies/H005/unique_00107
unique_00108,H005,NG,strategies/H005/unique_00108
unique_00109,H005,NKD,strategies/H005/unique_00109
unique_00110,H005,NKD,strategies/H005/unique_00110
unique_00111,H005,NKD,strategies/H005/unique_00111
unique_00112,H005,NKD,strategies/H005/unique_00112
unique_00113,H005,ZC,strategies/H005/unique_00113
unique_00114,H005,ZC,strategies/H005/unique_00114
unique_00115,H005,ZC,strategies/H005/unique_00115
unique_00116,H005,ZC,strategies/H005/unique_00116
unique_00117,H005,ZN,strategies/H005/unique_00117
unique_00118,H005,ZN,strategies/H005/unique_00118
unique_00119,H005,ZN,strategies/H005/unique_00119
unique_00120,H005,ZN,strategies/H005/unique_00120
unique_00121,H006,6E,strategies/H006/unique_00121
unique_00122,H006,6E,strategies/H006/unique_00122
unique_00123,H006,6E,strategies/H006/unique_00123
unique_00124,H006,6E,strategies/H006/unique_00124
unique_00125,H006,6J,strategies/H006/unique_00125
