fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
2,127,2024-02-21,2024-08-16,-0.026862824687539533,-0.05025713908052337,0.08714363069046836,-0.5767161487571625,-0.08428131542679063,0.48031496062992124,0.5714285714285714,0.6666666666666666,0.0,61,4,2,0,7,3,1,0.5384615384615384,14,26
3,127,2024-08-19,2025-02-17,-0.18410470639846,-0.39830441978641196,0.1013538487834282,-3.9298401054064023,-0.18642436539705887,0.3779527559055118,0.0,0.0,0.0,48,0,0,0,7,3,2,0.3333333333333333,9,27
4,127,2025-02-18,2025-08-15,-0.05365636889726666,-0.09890555922834196,0.14716350327390038,-0.6720794016724322,-0.1015131118359679,0.5196850393700787,0.42857142857142855,0.6666666666666666,0.0,66,3,2,0,7,3,1,0.46153846153846156,12,26
