one_way_cost_bps,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
0.0,381,2024-02-21,2025-08-15,-0.18908942526942563,-0.1320890393650925,0.11488888784833859,-1.1497111847706223,-0.28327603571390736,0.47244094488188976,0.3157894736842105,0.42857142857142855,0.0,180,6,3,0,19,7,2,0.47435897435897434,37,78
0.5,381,2024-02-21,2025-08-15,-0.2194225730153262,-0.15728903936509248,0.11488888784833858,-1.3690535465251008,-0.30260250899508423,0.4671916010498688,0.3157894736842105,0.42857142857142855,0.0,178,6,3,0,19,7,2,0.46153846153846156,36,78
1.0,381,2024-02-21,2025-08-15,-0.2486239373177378,-0.18248903936509248,0.11488888784833858,-1.5883959082795793,-0.32140970121259593,0.45931758530183725,0.3157894736842105,0.42857142857142855,0.0,175,6,3,0,19,7,2,0.44871794871794873,35,78
2.0,381,2024-02-21,2025-08-15,-0.3037982393505908,-0.23288903936509248,0.11488888784833858,-2.0270806317885364,-0.3575214819388388,0.4409448818897638,0.2631578947368421,0.42857142857142855,0.0,168,5,3,0,19,7,2,0.4230769230769231,33,78
3.5,381,2024-02-21,2025-08-15,-0.3790747445543182,-0.30848903936509237,0.11488888784833858,-2.6851077170519715,-0.4081302615710989,0.4094488188976378,0.21052631578947367,0.0,0.0,156,4,0,0,19,7,2,0.3717948717948718,29,78
5.0,381,2024-02-21,2025-08-15,-0.4462310497306651,-0.38408903936509264,0.11488888784833858,-3.3431348023154093,-0.46189111693292906,0.3805774278215223,0.10526315789473684,0.0,0.0,145,2,0,0,19,7,2,0.2564102564102564,20,78
