strategy,hypothesis_id,symbol,folder
unique_00434,H008,ES,strategies/H008/unique_00434
unique_00435,H008,ES,strategies/H008/unique_00435
unique_00436,H008,ES,strategies/H008/unique_00436
unique_00437,H008,ES,strategies/H008/unique_00437
unique_00438,H009,ES,strategies/H009/unique_00438
unique_00439,H009,ES,strategies/H009/unique_00439
unique_00440,H009,ES,strategies/H009/unique_00440
unique_00441,H009,ES,strategies/H009/unique_00441
unique_00442,H009,ES,strategies/H009/unique_00442
unique_00443,H009,ES,strategies/H009/unique_00443
unique_00444,H009,ES,strategies/H009/unique_00444
unique_00445,H009,ES,strategies/H009/unique_00445
unique_00446,H010,ES,strategies/H010/unique_00446
unique_00447,H010,ES,strategies/H010/unique_00447
unique_00448,H010,ES,strategies/H010/unique_00448
unique_00449,H010,ES,strategies/H010/unique_00449
unique_00450,H011,ES,strategies/H011/unique_00450
unique_00451,H011,ES,strategies/H011/unique_00451
unique_00452,H011,ES,strategies/H011/unique_00452
unique_00453,H011,ES,strategies/H011/unique_00453
unique_00454,H011,ES,strategies/H011/unique_00454
unique_00455,H011,ES,strategies/H011/unique_00455
unique_00456,H011,ES,strategies/H011/unique_00456
unique_00457,H011,ES,strategies/H011/unique_00457
unique_00458,H011,ES,strategies/H011/unique_00458
unique_00459,H008,GC,strategies/H008/unique_00459
unique_00460,H008,GC,strategies/H008/unique_00460
unique_00461,H008,GC,strategies/H008/unique_00461
unique_00462,H008,GC,strategies/H008/unique_00462
unique_00463,H008,GC,strategies/H008/unique_00463
unique_00464,H008,GC,strategies/H008/unique_00464
unique_00465,H009,GC,strategies/H009/unique_00465
unique_00466,H009,GC,strategies/H009/unique_00466
unique_00467,H009,GC,strategies/H009/unique_00467
unique_00468,H009,GC,strategies/H009/unique_00468
unique_00469,H009,GC,strategies/H009/unique_00469
unique_00470,H009,GC,strategies/H009/unique_00470
unique_00471,H009,GC,strategies/H009/unique_00471
unique_00472,H009,GC,strategies/H009/unique_00472
unique_00473,H010,GC,strategies/H010/unique_00473
unique_00474,H010,GC,strategies/H010/unique_00474
unique_00475,H010,GC,strategies/H010/unique_00475
unique_00476,H010,GC,strategies/H010/unique_00476
unique_00477,H011,GC,strategies/H011/unique_00477
unique_00478,H011,GC,strategies/H011/unique_00478
unique_00479,H011,GC,strategies/H011/unique_00479
unique_00480,H011,GC,strategies/H011/unique_00480
unique_00481,H011,GC,strategies/H011/unique_00481
unique_00482,H011,GC,strategies/H011/unique_00482
unique_00483,H011,GC,strategies/H011/unique_00483
unique_00484,H011,GC,strategies/H011/unique_00484
unique_00485,H011,GC,strategies/H011/unique_00485
unique_00486,H008,HG,strategies/H008/unique_00486
unique_00487,H008,HG,strategies/H008/unique_00487
unique_00488,H008,HG,strategies/H008/unique_00488
unique_00489,H008,HG,strategies/H008/unique_00489
unique_00490,H008,HG,strategies/H008/unique_00490
unique_00491,H008,HG,strategies/H008/unique_00491
unique_00492,H009,HG,strategies/H009/unique_00492
unique_00493,H009,HG,strategies/H009/unique_00493
unique_00494,H009,HG,strategies/H009/unique_00494
unique_00495,H009,HG,strategies/H009/unique_00495
unique_00496,H009,HG,strategies/H009/unique_00496
unique_00497,H009,HG,strategies/H009/unique_00497
unique_00498,H009,HG,strategies/H009/unique_00498
unique_00499,H009,HG,strategies/H009/unique_00499
unique_00500,H010,HG,strategies/H010/unique_00500
unique_00501,H010,HG,strategies/H010/unique_00501
unique_00502,H010,HG,strategies/H010/unique_00502
unique_00503,H010,HG,strategies/H010/unique_00503
unique_00504,H011,HG,strategies/H011/unique_00504
unique_00505,H011,HG,strategies/H011/unique_00505
unique_00506,H011,HG,strategies/H011/unique_00506
unique_00507,H011,HG,strategies/H011/unique_00507
unique_00508,H011,HG,strategies/H011/unique_00508
unique_00509,H011,HG,strategies/H011/unique_00509
unique_00510,H011,HG,strategies/H011/unique_00510
unique_00511,H011,HG,strategies/H011/unique_00511
unique_00512,H011,HG,strategies/H011/unique_00512
unique_00513,H008,NG,strategies/H008/unique_00513
unique_00514,H008,NG,strategies/H008/unique_00514
unique_00515,H008,NG,strategies/H008/unique_00515
unique_00516,H008,NG,strategies/H008/unique_00516
unique_00517,H008,NG,strategies/H008/unique_00517
unique_00518,H008,NG,strategies/H008/unique_00518
unique_00519,H009,NG,strategies/H009/unique_00519
unique_00520,H009,NG,strategies/H009/unique_00520
unique_00521,H009,NG,strategies/H009/unique_00521
unique_00522,H009,NG,strategies/H009/unique_00522
unique_00523,H009,NG,strategies/H009/unique_00523
unique_00524,H009,NG,strategies/H009/unique_00524
unique_00525,H009,NG,strategies/H009/unique_00525
unique_00526,H009,NG,strategies/H009/unique_00526
unique_00527,H010,NG,strategies/H010/unique_00527
unique_00528,H010,NG,strategies/H010/unique_00528
unique_00529,H010,NG,strategies/H010/unique_00529
unique_00530,H010,NG,strategies/H010/unique_00530
unique_00531,H011,NG,strategies/H011/unique_00531
unique_00532,H011,NG,strategies/H011/unique_00532
unique_00533,H011,NG,strategies/H011/unique_00533
unique_00534,H011,NG,strategies/H011/unique_00534
unique_00535,H011,NG,strategies/H011/unique_00535
unique_00536,H011,NG,strategies/H011/unique_00536
unique_00537,H011,NG,strategies/H011/unique_00537
unique_00538,H011,NG,strategies/H011/unique_00538
unique_00539,H011,NG,strategies/H011/unique_00539
unique_00540,H008,NKD,strategies/H008/unique_00540
unique_00541,H008,NKD,strategies/H008/unique_00541
unique_00542,H008,NKD,strategies/H008/unique_00542
unique_00543,H008,NKD,strategies/H008/unique_00543
unique_00544,H008,NKD,strategies/H008/unique_00544
unique_00545,H008,NKD,strategies/H008/unique_00545
unique_00546,H009,NKD,strategies/H009/unique_00546
unique_00547,H009,NKD,strategies/H009/unique_00547
unique_00548,H009,NKD,strategies/H009/unique_00548
unique_00549,H009,NKD,strategies/H009/unique_00549
unique_00550,H009,NKD,strategies/H009/unique_00550
unique_00551,H009,NKD,strategies/H009/unique_00551
unique_00552,H009,NKD,strategies/H009/unique_00552
unique_00553,H009,NKD,strategies/H009/unique_00553
unique_00554,H010,NKD,strategies/H010/unique_00554
unique_00555,H010,NKD,strategies/H010/unique_00555
unique_00556,H010,NKD,strategies/H010/unique_00556
unique_00557,H010,NKD,strategies/H010/unique_00557
unique_00558,H011,NKD,strategies/H011/unique_00558
unique_00559,H011,NKD,strategies/H011/unique_00559
unique_00560,H011,NKD,strategies/H011/unique_00560
unique_00561,H011,NKD,strategies/H011/unique_00561
unique_00562,H011,NKD,strategies/H011/unique_00562
unique_00563,H011,NKD,strategies/H011/unique_00563
unique_00564,H011,NKD,strategies/H011/unique_00564
unique_00565,H011,NKD,strategies/H011/unique_00565
unique_00566,H011,NKD,strategies/H011/unique_00566
unique_00567,H008,ZC,strategies/H008/unique_00567
unique_00568,H008,ZC,strategies/H008/unique_00568
unique_00569,H008,ZC,strategies/H008/unique_00569
unique_00570,H008,ZC,strategies/H008/unique_00570
unique_00571,H008,ZC,strategies/H008/unique_00571
unique_00572,H008,ZC,strategies/H008/unique_00572
unique_00573,H009,ZC,strategies/H009/unique_00573
unique_00574,H009,ZC,strategies/H009/unique_00574
unique_00575,H009,ZC,strategies/H009/unique_00575
unique_00576,H009,ZC,strategies/H009/unique_00576
unique_00577,H009,ZC,strategies/H009/unique_00577
unique_00578,H009,ZC,strategies/H009/unique_00578
unique_00579,H009,ZC,strategies/H009/unique_00579
unique_00580,H009,ZC,strategies/H009/unique_00580
unique_00581,H010,ZC,strategies/H010/unique_00581
unique_00582,H010,ZC,strategies/H010/unique_00582
unique_00583,H010,ZC,strategies/H010/unique_00583
unique_00584,H010,ZC,strategies/H010/unique_00584
unique_00585,H011,ZC,strategies/H011/unique_00585
unique_00586,H011,ZC,strategies/H011/unique_00586
unique_00587,H011,ZC,strategies/H011/unique_00587
unique_00588,H011,ZC,strategies/H011/unique_00588
unique_00589,H011,ZC,strategies/H011/unique_00589
unique_00590,H011,ZC,strategies/H011/unique_00590
unique_00591,H011,ZC,strategies/H011/unique_00591
unique_00592,H011,ZC,strategies/H011/unique_00592
unique_00593,H011,ZC,strategies/H011/unique_00593
unique_00594,H008,ZN,strategies/H008/unique_00594
unique_00595,H008,ZN,strategies/H008/unique_00595
unique_00596,H008,ZN,strategies/H008/unique_00596
unique_00597,H008,ZN,strategies/H008/unique_00597
unique_00598,H008,ZN,strategies/H008/unique_00598
unique_00599,H008,ZN,strategies/H008/unique_00599
unique_00600,H009,ZN,strategies/H009/unique_00600
unique_00601,H009,ZN,strategies/H009/unique_00601
unique_00602,H009,ZN,strategies/H009/unique_00602
unique_00603,H009,ZN,strategies/H009/unique_00603
unique_00604,H009,ZN,strategies/H009/unique_00604
unique_00605,H009,ZN,strategies/H009/unique_00605
unique_00606,H009,ZN,strategies/H009/unique_00606
unique_00607,H009,ZN,strategies/H009/unique_00607
unique_00608,H010,ZN,strategies/H010/unique_00608
unique_00609,H010,ZN,strategies/H010/unique_00609
unique_00610,H010,ZN,strategies/H010/unique_00610
unique_00611,H010,ZN,strategies/H010/unique_00611
unique_00612,H011,ZN,strategies/H011/unique_00612
unique_00613,H011,ZN,strategies/H011/unique_00613
unique_00614,H011,ZN,strategies/H011/unique_00614
unique_00615,H011,ZN,strategies/H011/unique_00615
unique_00616,H011,ZN,strategies/H011/unique_00616
unique_00617,H011,ZN,strategies/H011/unique_00617
unique_00618,H011,ZN,strategies/H011/unique_00618
unique_00619,H011,ZN,strategies/H011/unique_00619
unique_00620,H011,ZN,strategies/H011/unique_00620
unique_00621,H008,6E,strategies/H008/unique_00621
unique_00622,H008,6E,strategies/H008/unique_00622
unique_00623,H008,6E,strategies/H008/unique_00623
unique_00624,H008,6E,strategies/H008/unique_00624
unique_00625,H008,6E,strategies/H008/unique_00625
unique_00626,H008,6E,strategies/H008/unique_00626
unique_00627,H009,6E,strategies/H009/unique_00627
unique_00628,H009,6E,strategies/H009/unique_00628
unique_00629,H009,6E,strategies/H009/unique_00629
unique_00630,H009,6E,strategies/H009/unique_00630
unique_00631,H009,6E,strategies/H009/unique_00631
unique_00632,H009,6E,strategies/H009/unique_00632
unique_00633,H009,6E,strategies/H009/unique_00633
unique_00634,H009,6E,strategies/H009/unique_00634
unique_00635,H010,6E,strategies/H010/unique_00635
unique_00636,H010,6E,strategies/H010/unique_00636
unique_00637,H010,6E,strategies/H010/unique_00637
unique_00638,H010,6E,strategies/H010/unique_00638
unique_00639,H011,6E,strategies/H011/unique_00639
unique_00640,H011,6E,strategies/H011/unique_00640
unique_00641,H011,6E,strategies/H011/unique_00641
unique_00642,H011,6E,strategies/H011/unique_00642
unique_00643,H011,6E,strategies/H011/unique_00643
unique_00644,H011,6E,strategies/H011/unique_00644
unique_00645,H011,6E,strategies/H011/unique_00645
unique_00646,H011,6E,strategies/H011/unique_00646
unique_00647,H011,6E,strategies/H011/unique_00647
unique_00648,H008,6J,strategies/H008/unique_00648
unique_00649,H008,6J,strategies/H008/unique_00649
unique_00650,H008,6J,strategies/H008/unique_00650
unique_00651,H008,6J,strategies/H008/unique_00651
unique_00652,H008,6J,strategies/H008/unique_00652
unique_00653,H008,6J,strategies/H008/unique_00653
unique_00654,H009,6J,strategies/H009/unique_00654
unique_00655,H009,6J,strategies/H009/unique_00655
unique_00656,H009,6J,strategies/H009/unique_00656
unique_00657,H009,6J,strategies/H009/unique_00657
unique_00658,H009,6J,strategies/H009/unique_00658
unique_00659,H009,6J,strategies/H009/unique_00659
unique_00660,H009,6J,strategies/H009/unique_00660
unique_00661,H009,6J,strategies/H009/unique_00661
unique_00662,H010,6J,strategies/H010/unique_00662
unique_00663,H010,6J,strategies/H010/unique_00663
unique_00664,H010,6J,strategies/H010/unique_00664
unique_00665,H010,6J,strategies/H010/unique_00665
unique_00666,H011,6J,strategies/H011/unique_00666
unique_00667,H011,6J,strategies/H011/unique_00667
unique_00668,H011,6J,strategies/H011/unique_00668
unique_00669,H011,6J,strategies/H011/unique_00669
unique_00670,H011,6J,strategies/H011/unique_00670
unique_00671,H011,6J,strategies/H011/unique_00671
unique_00672,H011,6J,strategies/H011/unique_00672
unique_00673,H011,6J,strategies/H011/unique_00673
unique_00674,H011,6J,strategies/H011/unique_00674
unique_00675,H008,CL,strategies/H008/unique_00675
unique_00676,H008,CL,strategies/H008/unique_00676
unique_00677,H008,CL,strategies/H008/unique_00677
unique_00678,H008,CL,strategies/H008/unique_00678
unique_00679,H008,CL,strategies/H008/unique_00679
unique_00680,H008,CL,strategies/H008/unique_00680
unique_00681,H009,CL,strategies/H009/unique_00681
unique_00682,H009,CL,strategies/H009/unique_00682
unique_00683,H009,CL,strategies/H009/unique_00683
unique_00684,H009,CL,strategies/H009/unique_00684
unique_00685,H009,CL,strategies/H009/unique_00685
unique_00686,H009,CL,strategies/H009/unique_00686
unique_00687,H009,CL,strategies/H009/unique_00687
unique_00688,H009,CL,strategies/H009/unique_00688
unique_00689,H010,CL,strategies/H010/unique_00689
unique_00690,H010,CL,strategies/H010/unique_00690
unique_00691,H010,CL,strategies/H010/unique_00691
unique_00692,H010,CL,strategies/H010/unique_00692
unique_00693,H011,CL,strategies/H011/unique_00693
unique_00694,H011,CL,strategies/H011/unique_00694
unique_00695,H011,CL,strategies/H011/unique_00695
unique_00696,H011,CL,strategies/H011/unique_00696
unique_00697,H011,CL,strategies/H011/unique_00697
unique_00698,H011,CL,strategies/H011/unique_00698
unique_00699,H011,CL,strategies/H011/unique_00699
unique_00700,H011,CL,strategies/H011/unique_00700
unique_00701,H011,CL,strategies/H011/unique_00701
unique_00702,H008,ES,strategies/H008/unique_00702
unique_00703,H008,ES,strategies/H008/unique_00703
unique_00704,H008,ES,strategies/H008/unique_00704
unique_00705,H008,ES,strategies/H008/unique_00705
unique_00706,H008,ES,strategies/H008/unique_00706
unique_00707,H008,ES,strategies/H008/unique_00707
unique_00708,H009,ES,strategies/H009/unique_00708
unique_00709,H009,ES,strategies/H009/unique_00709
unique_00710,H009,ES,strategies/H009/unique_00710
unique_00711,H009,ES,strategies/H009/unique_00711
unique_00712,H009,ES,strategies/H009/unique_00712
