fold,observations,start,end,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,win_days,win_months,win_quarters,win_years,positive_days,positive_months,positive_quarters,positive_years,months,quarters,years,win_weeks,positive_weeks,weeks
2,128,2024-02-21,2024-08-19,-0.04431327742625091,-0.08539996906489998,0.08767686391652946,-0.9740308360732753,-0.08522711215597234,0.1171875,0.14285714285714285,0.3333333333333333,0.0,15,1,1,0,7,3,1,0.37037037037037035,10,27
3,128,2024-08-20,2025-02-17,-0.05195845453967518,-0.09617297136237736,0.13134693964219085,-0.7322056503514072,-0.1144429874628412,0.0546875,0.42857142857142855,0.3333333333333333,0.5,7,3,1,1,7,3,2,0.25925925925925924,7,27
4,128,2025-02-18,2025-08-15,0.003341405540671749,0.008738041484005019,0.06603148726746663,0.13233143528345462,-0.035976465295928683,0.09375,0.42857142857142855,0.6666666666666666,1.0,12,3,2,1,7,3,1,0.3076923076923077,8,26
