evaluation_fold,symbol,strategy,training_score,prior_fold_sharpes
2,CL,h022_CL_15m_response_240m_hold_threshold0p5,2.594566390485752,[2.594566390485752]
2,NG,h022_NG_15m_response_030m_hold_threshold0p5,2.3368512671444335,[2.3368512671444335]
3,CL,h022_CL_30m_response_030m_hold_threshold1p0,2.0484186265556095,"[1.9296653276362092, 2.2463407914212765]"
3,NG,h022_NG_30m_response_240m_hold_threshold0p5,1.08668245345264,"[1.4806360907578167, 0.8503102710695339]"
4,CL,h022_CL_30m_response_030m_hold_threshold1p0,1.4557147812203965,"[1.9296653276362092, 2.2463407914212765, 0.6935842740948018]"
4,NG,h022_NG_30m_response_060m_hold_threshold0p5,0.8894207933047349,"[1.111413402784201, 0.17382349584411627, 1.9173875202374164]"
